Value,Footprint,MPN,Quantity,Dispo,Farnell,Total
Conn_01x09,Connector_JST:JST_XH_S9B-XH-A_1x09_P2.50mm_Horizontal ,S9B-XH-A (LF)(SN),100,9249,"0,21 €","20,90 €"
Conn_01x09,,XHP-9,100,2988,"0,12 €","12,10 €"
TMC2225-SA-T,Package_SO:HTSSOP-28-1EP_4.4x9.7mm_P0.65mm_EP2.85x5.4mm_ThermalVias,TMC2225-SA-T,100,1035,"1,58 €","158,00 €"
STM32C011J4Mx,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,STM32C011J4M6,100,142,"0,75 €","75,40 €"
AMS1117-3.3,Package_TO_SOT_SMD:SOT-223-3_TabPin2,AZ1117CH2-3.3TRG1,100,467,"0,14 €","13,70 €"
,Connector 2x19,TSW-119-19-T-D,250,1478,"1,51 €","377,50 €"
NCS199A3RSQT2G,Package_TO_SOT_SMD:SOT-363_SC-70-6,NCS199A3RSQT2G,100,375,"0,45 €","44,70 €"
SW_Push_DPDT,Button_Switch_SMD:SW_DPDT_CK_JS202011JCQN,JS202011JCQN,100,3904,"0,51 €","51,30 €"
Conn_03x06,,SAMTEC TSW-106-05-F-T,100,0,,"0,00 €"
110m,Resistor_SMD:R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,MFL0603R1100FB,100,4970,"0,08 €","8,20 €"
680m,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,WW12PR680FTL,200,2340,"0,13 €","25,20 €"
30m,Resistor_SMD:R_0402_1005Metric,ERJ2RKF30R1X,100,31860,"0,01 €","0,50 €"
,Alimentation 230VAC/12VDC,PELL0219,100,177,"4,80 €","480,00 €"
,,,,,,
,,,,,,
,,,,,,"1 267,50 €"
